ID;Ciudad;Estrato;Edad;Lunes;Martes;Miercoles;Jueves;Viernes;Sabado;Domingo;Trabajo_remoto;Transporte1;Compartido1;Tiempo1;Transporte2;Other.1;Compartido2;Tiempo2;Tecnologia_de_vehiculo;Other.2;Cilindrada;Kilometraje;Modelo;Costo_combustible;Costo_parqueadero;Costo_mantenimiento;Costo_obligaciones;Costo_depreciación;Costo_de_transporte;Comodidad;Rapidez;Costo;Conveniencia;Seguridad_personal;Menor_riesgo_de_accidente;Razones_ambientales;Salud;Problemas_de_salud,_por_ejemplo,_discapacidad;Compromisos_tales_como_dejar_o_recoger_pasajeros;Preferencia_Trabajo_Remoto;Economia;Tiempo;Conveniencia.1;Seguridad_personal.1;Menor_riesgo_de_accidente.1;Razones_ambientales.1;No_hay_acceso_a_transporte_publico;Salud.1;Problemas_de_salud,_por_ejemplo_discapacidad;Compromisos_tales_como_dejar_o_recoger_pasajeros.1;Otros;Desplazamientos_extra;OTROS_TRAYECTOS;Transporte_extra;Other.3;Transporte_almuerzo;Other.4;Tren;Cable;Transporte_integrado;Alimentador_de_sistema_masivo;Tranvia;Bus_o_Colectivo;Carro_propio_uso_individual;Carro_compartido_pasajero;Carro_compartido_conductor;Motocicleta_2T;Motocicleta_4T;Motocicleta_electrica;Taxi;Bicicleta_mecanica;Bicicleta_publica;Bicicleta_electrica_personal;Patineta;A_pie_o_caminata;Uber_o_similares;Bicicletas_eléctricas_compartidas_de_la_compañía;Patinetas_eléctricas_compartidas_de_la_compañía;Motivadores;Barreras;Sede;Genero;LATITUDE;LONGITUDE;Distancia_trabajo;dFlag;Viajes_std;Viajes_lab;Viajes_tr;Co2Flag_W;Co2Flag_lab_W;Co2Anual
0puxzptnidofritpv090puxzpafniew0;Medellín;4;28;1;1;1;1;1;0;0;1;Tren;;20;No utilizo otros medios de transporte;;;;;;;;;;;;;;4600;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;0;0;0;;0;;Tren;;No requiero desplazarme;;1;0;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;1;0;1;1;;;D;Femenino;6,2551048;-75,602922;4,127810883;1-5 KM;10;0;1;1164,042669;0;60530,21879
0qdxynvumwaviivz3v7n0qd3dkmkcwi1;Medellín;3;30;1;1;1;1;1;1;1;1;Motocicleta 4T;;30;Bus o colectivo;;;;Gasolina;;150;5000;2017;60000;40000;800000;900000;2500000;0;1;1;1;1;1;0;0;1;0;0;1;1;1;0;1;1;1;0;1;0;0;;0;2;Motocicleta 4T;;No requiero desplazarme;;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;;no;B;Femenino;6,226566;-75,566719;2,141380829;1-5 KM;14;2;1;1358,999058;589,3055917;101311,8418
0rtahd6wy24s2ij0rtu18mea4rpkpaan;Itagüí;3;46;1;1;1;1;1;0;0;0;Tren;;30;Bus o colectivo;;;45;;;;;;;;;;;10500;0;1;1;1;0;0;1;0;0;0;0;;;;;;;;;;;;1;;Taxi;;Tranvia;;1;0;0;1;0;1;1;1;1;0;0;1;1;1;0;1;1;1;0;1;1;medio ambiente;no tener vías adecuadas para mi desplazamiento;D;Masculino;6,1837464;-75,596051;7,557210987;7-15 KM;10;0;0;2131,133498;0;110818,9419
0s4v9jqznggehzt0s4o4mlc2cbdun8l0;Medellín;4;48;1;1;1;1;1;0;0;1;Bus o colectivo;;50;Bus o colectivo;;;120;;;;;;;;;;;8800;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;;0;;Taxi;;No requiero desplazarme;;0;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0;0;1;1;1;0;ACTUALMENTE UTILIZO EL TRANSPORTE PUBLICO;NINGUNO;C;Femenino;6,2709424;-75,5922725;7,050689408;7-15 KM;10;0;1;2316,059472;0;120435,0925
0sygexvklxs0irfvytyqt0sygex61f6v;Medellín;5;45;1;1;1;1;1;1;0;0;Carro propio uso individual;;40;Carro propio uso individual;;;50;;;;;;;;;;;10000;1;1;0;0;1;0;0;1;0;0;0;;;;;;;;;;;;0;0;Taxi;;No requiero desplazarme;;1;0;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;El tráfico excesivo;No;D;Masculino;6,2604875;-75,5921176;3,246984971;1-5 KM;12;0;0;10057,12259;0;522970,3748
0vhj7x4fl6zx980vhj79vd3nvzjep1mf;Medellín;4;45;1;1;1;1;1;1;0;1;Transporte integrado;;15;Bus o colectivo;;;15;Diesel;;1400;;;;;;;;10000;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0;1;0;0;Se trabaja de acuerdo a proyectos, por lo tanto se ajusta el tiempo para su desarrollo.;1;;Transporte integrado;;Bus o colectivo;;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;No;No existen barreras;D;Femenino;6,260368;-75,5588599;1,865051835;1-5 KM;12;0;1;735,1742309;0;38229,06
0w1qwj3o8mmrt4m7qr0w1qwjfty8n81n;Envigado;4;38;0;0;0;0;0;0;0;1;Motocicleta 2T;;30;Motocicleta 4T;;;;Gasolina;;125;78000;2013;11000;55000;85000;600000;3000000;0;0;1;1;0;0;0;1;0;0;0;1;1;1;0;1;1;1;1;0;0;0;;1;;Taxi;;No requiero desplazarme;;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;1;0;0;1;1;La bicicleta para hacer ejercicio, no me gusta el transporte pubkico por seguridad y salud;la accesibilidad desde mi lugar de residencia;A;Masculino;6,1483231;-75,5910855;8,596869345;7-15 KM;9;0;1;0;0;0
0x3xvw9v1hjf066280x332br2whwpsjp;Medellín;5;54;1;1;1;1;1;0;0;1;Bus o colectivo;;40;Taxi;;;30;;;;;;;;;;;4600;1;1;1;1;0;1;1;0;0;0;1;0;1;1;1;1;1;0;0;0;0;Comodidad;0;2;Taxi;;No requiero desplazarme;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Buen servicio público en Belén;Clima y actualmente el virus;D;Femenino;6,2289922;-75,5995447;4,052166239;1-5 KM;10;2;1;1331,083736;3355,487087;243701,6828
0xsk8ozqcenn8fn4bi1pko00xsk8ozqu;Copacabana;3;30;0;0;0;0;0;0;0;1;Motocicleta 4T;;60;Tren;;;;Gasolina;;200;30000;2019;140000;60000;500000;900000;1500000;0;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;Contribuir con la Contaminacion y la Movilidad de la Ciudad;0;10;Taxi;;Motocicleta 4T;;1;1;0;0;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;Rapidez, Seguridad y Costo;Seguridad;A;Masculino;6,357621;-75,505078;16,6329725;7-15 KM;9;10;1;0;16777,43543;872426,6426
0y8gva9guc34i2cfqe00y8gvash3py74;El Retiro;5;42;1;1;1;1;1;1;1;0;Carro propio uso individual;;55;No utilizo otros medios de transporte;;;;Gasolina;;1400;32000;2018;360000;0;800000;2300000;6000000;0;1;1;0;1;1;1;0;1;0;0;1;1;1;1;1;1;1;0;1;0;0;n.a.;1;;Carro propio uso individual;;Carro propio uso individual;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n.a.;Ubicación actual y desplazamientos constantes entre sedes;D;Masculino;6,057376;-75,503004;21,97524959;15-30 KM;14;0;0;62822,30633;0;3266759,929
10d0czz49kjrr3b9z10d0czxq0hotzc2;Medellín;2;34;1;1;1;1;1;1;0;0;Bus o colectivo;;30;Bicicleta mecanica;;;60;;;;;;;;;;;5000;1;1;1;1;1;1;1;1;0;0;0;;;;;;;;;;;;0;0;Taxi;;Bus o colectivo;;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;cuidado del medio ambiente;ninguna;D;Masculino;6,2258264;-75,5420697;3,504218664;1-5 KM;12;0;0;1381,308129;0;71828,02271
11i812gta01f7jq70d211i88pzt9mt7v;Medellín;2;31;0;0;0;0;0;0;0;0;Bus o colectivo;;60;Motocicleta 2T;;;30;;;;;;;;;;;9500;1;1;1;1;1;0;1;1;0;1;0;;;;;;;;;;;;0;0;Transporte empresarial;;No requiero desplazarme;;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;Bicicleta, pues es un medio que no contamina y ayuda en la salud.;Riesgo en las vías, debido que no cuento con una ciclo ruta cercana;A;Masculino;6,2745659;-75,6422688;9,319504549;7-15 KM;10;0;0;0;0;0
13bucitxgdk2wc13bp2qh3be7y84bphs;Bello;2;30;0;0;0;0;0;0;0;0;Transporte integrado;;60;No utilizo otros medios de transporte;;;;;;;;;;;;;;7000;0;1;1;1;0;0;1;0;0;1;1;1;1;0;1;1;1;0;1;0;0;Productividad;1;;Taxi;;A pie o caminata;;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;Por temas de salud, economia y agilidad;Bicicleta, patineta y caminando;D;Femenino;6,3411758;-75,5655199;10,57838367;7-15 KM;10;0;0;0;0;0
13r9piygvpbm2zf2z1apari13r9piyg6;Medellín;5;41;1;1;1;1;1;0;0;0;Tren;;40;Taxi;;;20;;;;;;;;;;;10000;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1;0;0;No se requiere 100% presencial;1;;Taxi;;Taxi;;1;1;1;0;1;0;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;Cuidado del medio ambiente;Comgestion en transporte publico;D;Masculino;6,25417;-75,5855005;2,272443917;1-5 KM;10;0;0;640,8291847;0;33323,1176
1488gpk9mtj0514882hc00mkedrxog18;Medellín;4;56;1;1;1;1;1;0;0;1;Bus o colectivo;;30;Taxi;;;30;;;;;;;;;;;15000;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;0;1;0;0;Comodidad y menos riesgo;1;;Taxi;;No requiero desplazarme;;0;0;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;0;1;0;El medio ambiente;no se montar en bicicleta ni en patineta ni en moto;D;Femenino;6,247789;-75,6132906;5,143192398;5-7 KM;10;0;1;1689,471594;0;87852,52287
14uhg8mhhvivo0627vc6a14uhg8mbqkt;Medellín;3;34;1;1;1;1;1;1;1;0;Tren;;40;Motocicleta 4T;;;30;Gasolina;;125;2700;2020;;;;;;1500;1;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;No;0;0;Taxi;;No requiero desplazarme;;1;1;1;0;1;1;1;1;1;0;1;1;1;0;0;0;0;1;1;1;0;ayudar al medio ambiente;no me siento segura en bicicleta;B;Femenino;6,1850875;-75,5996891;7,722341994;7-15 KM;14;0;0;3048,780619;0;158536,5922
